Location;Latitude;Longitude;Size;Soil;SoilType
SIC_2_201;46.89111445431192;23.92831123604875;100;Regosol;0
SIC_2_202;46.90674349926417;23.939799799936832;100;Regosol;0
SIC_2_203;46.905936406960194;23.9456566142922;100;Regosol;0
SIC_2_204;46.917647431753124;23.947734832877828;100;Regosol;0
SIC_5_205;46.9331388082083;23.94768138336469;100;Aluviosol;2
SIC_15_206;46.93392166093963;23.9414597620031;100;Preluvosol;7
SIC_9_207;46.93447014707186;23.887065599218896;100;Faeoziom;4
SIC_2_208;46.93206051764122;23.88496973738215;100;Regosol;0
SIC_23_209;46.93387187010137;23.88016084020762;100;Antrosol;10
SIC_13_210;46.93632941666655;23.878245209062534;100;Eutricambosol;6
SIC_9_211;46.925653937012726;23.893950378522963;100;Faeoziom;4
SIC_22_212;46.9255840802079;23.891783400870807;100;Antrosol;10
SIC_16_213;46.92645570306735;23.88831169790924;100;Preluvosol;7
SIC_8_214;46.92229397520947;23.886447522044282;100;Faeoziom;4
SIC_22_215;46.9207364188793;23.893115499761105;100;Antrosol;10
SIC_23_216;46.916455923912025;23.887454741708268;100;Antrosol;10
SIC_1_217;46.91564171986653;23.88374369209829;100;Regosol;0
SIC_3_218;46.912109858826284;23.88348749297348;100;Aluviosol;1
SIC_8_219;46.907996431918576;23.88913768179728;100;Faeoziom;4
SIC_18_220;46.90706367924284;23.894184087526472;100;Preluvosol;7
SIC_8_221;46.905452952716615;23.89613187521346;100;Faeoziom;4
SIC_2_222;46.90509455996363;23.88979146520143;100;Regosol;0
SIC_7_223;46.90397051994913;23.88693849813975;100;Faeoziom;3
SIC_11_224;46.904077610298515;23.881372819745906;100;Eutricambosol;6
SIC_8_225;46.91901688468437;23.882120081991893;100;Faeoziom;4
SIC_8_226;46.9227141150204;23.890943018021034;100;Faeoziom;4
SIC_8_227;46.92233598919057;23.886573563987547;100;Faeoziom;4
SIC_8_228;46.91910091264657;23.88191001208644;100;Faeoziom;4
SIC_8_229;46.92233598919057;23.886573563987547;100;Faeoziom;4
SIC_8_230;46.92157973753089;23.87871694952351;100;Faeoziom;4
SIC_8_231;46.924125455193376;23.87055015046873;100;Faeoziom;4
SIC_9_232;46.94353330273282;23.85883874297411;100;Faeoziom;4
SIC_9_233;46.947464929001825;23.87953366178392;100;Faeoziom;4
SIC_9_1_234;46.9457423557771;23.874744067939535;100;Faeoziom;4
SIC_9_235;46.94212915340327;23.884407283590484;100;Faeoziom;4
SIC_9_236;46.946540621417824;23.885205549231223;100;Faeoziom;4
SIC_9_1_237;46.94212915340324;23.884281241647216;100;Faeoziom;4
SIC_9_238;46.94507013207965;23.87839928429446;100;Faeoziom;4
SIC_8_239;46.95291091772236;23.876081518961684;100;Faeoziom;4
SIC_8_240;46.94409686646975;23.85043981939983;100;Faeoziom;4
SIC_9_241;46.95781828756486;23.86680606214825;100;Faeoziom;4
SIC_9_1_242;46.959288776903065;23.871049474238454;100;Faeoziom;4
SIC_9_2_243;46.95912072097872;23.870839404333;100;Faeoziom;4
SIC_9_244;46.95865856718672;23.873612327085013;100;Faeoziom;4
SIC_8_245;46.966075016626235;23.875280042171415;100;Faeoziom;4
SIC_8_246;46.96544480690986;23.886623817066027;100;Faeoziom;4
SIC_8_247;46.96523473700438;23.89145542489151;100;Faeoziom;4
SIC_8_248;46.908874524123405;23.885671528357257;100;Faeoziom;4
SIC_8_249;46.910630708533006;23.881234851954037;100;Faeoziom;4
SIC_8_250;46.909937477845006;23.877583836997218;100;Faeoziom;4
SIC_1_251;46.911852058772126;23.89229353725034;100;Regosol;0
SIC_1_252;46.915225781453756;23.891738952699935;100;Regosol;0
SIC_1_1_253;46.911852058772126;23.892293537250332;100;Regosol;0
SIC_1_254;46.910095874362526;23.896545352136755;100;Regosol;0
